w,9039140
a,41948034
s,33682880
h,23789946
i,37079607
n,35598178
g,10166002
t,45922367
o,36859135
—,474088
c,15847488
r,31103172
e,59729703
l,20257291
p,10966188
u,13625314
b,7621011
v,5190687
f,10226662
m,12875190
d,18999411
y,8561700
x,914086
’,2461402
k,3847773
j,1010823
q,419644
“,913139
”,1775311
z,563493
‘,45013
á,4981
ã,730
é,21261
í,2445
ñ,3059
•,6208
ç,1465
ï,584
…,27090
■,1102
ó,2074
ê,644
è,1746
à,1619
ù,106
ô,253
ö,1273
¡,62
́,41
ú,665
â,2627
»,781
î,220
ü,1802
€,673
½,515
ä,566
ë,375
¼,56
ō,82
£,2624
♥,29
⅛,1
点,2
击,2
查,2
看,3
本,2
文,6
中,2
版,3
û,65
ć,147
÷,9
⅔,5
ì,12
≫,1
‐,115
¾,30
习,1
氏,1
狼,1
条,1
脊,1
甲,1
ø,177
¶,15
‚,23
⅓,8
õ,33
π,11
★,62
¥,25
◆,12
¢,20
⁄,29
🇲,8
🇽,6
⛏,1
−,24
‼,33
️,454
🔥,80
🙄,30
°,284
👏,49
🎙,4
ح,397
ل,2033
و,1023
ا,2917
ن,1047
ع,631
م,1294
ي,1404
ة,417
ق,357
د,689
س,530
ص,184
ه,702
ر,1019
ج,282
ب,770
ك,358
ذ,118
أ,260
ت,707
ف,397
ض,120
غ,93
ز,152
،,55
ى,125
ش,224
ط,192
ء,52
خ,193
ئ,45
إ,89
ؤ,12
آ,21
ث,69
؛,4
❄,16
―,93
ğ,668
⚡,37
💔,18
″,156
❤,260
😂,230
🌏,3
🌍,6
🌎,7
​,2173
🇺,196
🇸,186
§,154
ظ,33
🌟,14
ő,2
🍑,122
🇹,14
 ,221
å,178
‍,37
😩,7
😭,74
♍,1
😞,7
🚽,16
🙏,60
🏻,64
👨,4
 ,716
🎉,16
😒,17
ᏸ,1
🕊,6
🌹,12
🌙,12
♕,2
🍕,4
😫,5
💞,6
®,64
 ,8752
ò,18
š,114
‏,30
➡,11
💜,11
🍒,2
☪,2
😡,37
✪,2
✊,37
🏽,51
🙌,33
💩,8
😲,3
🎈,7
🍾,4
😉,9
տ,2
і,1
ӎ,1
ӊ,1
ѧ,3
ԁ,1
є,3
 ,55
×,49
²,7
‑,304
❗,11
‎,264
🏃,26
♀,21
🇨,3
🇦,4
🚨,18
→,1273
💖,9
🐶,6
ⓥ,3
💸,10
💯,25
🏳,2
🌈,13
؟,17
ی,88
‌,4
ک,33
پ,7
ὢ,4
👇,20
🌞,6
🚴,2
🙃,16
め,4
で,14
鯛,1
⁉,4
💛,20
💙,14
💚,4
😥,13
ב,8
נ,3
ט,1
😈,5
👊,4
🏾,48
ﬁ,62
ı,331
🇳,7
ş,147
😬,5
🇱,11
ė,9
′,16
●,401
○,3
🖤,1
¯,56
ツ,29
´,36
😏,10
¿,31
σ,5
†,7
ム,7
🗽,2
ὀ,1
‪,77
‬,33
👑,13
💕,28
😍,24
🇻,2
ᱚ,1
ɛ,10
ɱ,1
ղ,2
я,62
λ,6
ɠ,1
ɪ,12
↑,10
↓,7
☻,8
☹,6
😱,11
😝,2
💋,11
💥,12
🎶,9
💝,2
♡,14
😔,11
±,33
ㅤ,6
🇷,20
ѕ,5
н,195
ž,63
ὠ,3
👽,3
›,6
♛,3
♂,10
👍,13
💪,23
🌺,2
✏,3
º,28
💄,1
👌,10
🐝,2
✿,2
🌊,2
🖖,5
ᴇ,4
ᴀ,6
ᴛ,4
ʀ,1
ᴜ,1
ɴ,3
ᴅ,1
ʏ,2
😯,1
⏳,1
♫,5
в,162
з,64
р,175
ы,49
а,235
д,104
у,63
х,29
с,173
т,200
ц,14
и,222
п,106
е,270
о,316
г,46
м,100
л,99
б,61
к,87
«,736
ч,27
й,43
щ,17
ь,44
ю,23
э,9
ж,26
ш,28
⚾,7
😘,15
👎,7
©,299
😇,3
🐸,16
⛪,1
ξ,4
♔,1
🌴,2
💻,5
ё,3
✨,52
🕹,1
א,8
ו,11
ר,13
ן,4
ח,4
ז,2
ὤ,1
😎,12
🏁,1
😕,5
ὄ,6
⚽,3
ƕ,4
🔴,3
ß,33
📌,1
📃,1
☕,5
"",1979
💦,1
📷,7
ﬂ,11
♻,1
☯,2
♉,1
👮,2
🏼,39
😳,23
🕋,9
☆,17
✔,23
📽,1
👲,3
ł,113
ę,17
🙊,4
ُ,15
ٍ,2
ّ,13
😢,17
ً,6
♿,2
ِ,7
َ,9
ـ,15
ٓ,1
😄,9
🐽,2
☄,2
✘,93
⬇,16
ð,141
👸,6
📸,8
◦,2
·,296
✌,13
🎵,7
ἶ,1
🚂,5
比,1
較,1
動,2
画,1
す,8
。,19
右,1
側,1
の,22
は,8
フ,3
ァ,1
ン,5
翻,1
訳,1
パ,1
ッ,7
チ,1
を,13
使,1
っ,16
て,15
い,34
る,21
た,19
、,21
ち,4
ゃ,1
ん,4
と,27
し,17
英,1
語,1
に,10
な,26
そ,4
う,14
ℑ,1
ⱳ,1
💨,4
🚶,2
ā,154
